country	geo4	income	life_expectancy	population
Syria	asia	3500	68.2	18734987
Swaziland	africa	6095	51.8	1319011
Chad	africa	2191	57.4	14009413
Togo	africa	1433	61.5	7416802
Thailand	asia	14512	74.7	68657600
Tajikistan	asia	2582	72.4	8548651
Timor-Leste	asia	2086	72.4	1240977
Turkmenistan	asia	15865	70	5565284
Tunisia	africa	11126	77.6	11273661
Tonga	asia	5069	71.5	106364
Turkey	europe	19360	79.2	78271472
Trinidad and Tobago	americas	30113	72.4	1360092
Tuvalu	asia	3622	null	11001
Tanzania	africa	2571	64.1	53879957
Ukraine	europe	8449	71.5	44657704
Uganda	africa	1680	61.3	40144870
United States	americas	53354	79.1	319929162
Uruguay	americas	20438	76.8	3431552
Uzbekistan	asia	5598	71.8	30976021
Holy See	europe	null	null	803
St. Vincent and the Grenadines	americas	10435	71.2	109455
Venezuela	americas	15753	74.8	31155134
Vietnam	asia	5623	75.4	93571567
Vanuatu	asia	2912	64.9	264603
Samoa	asia	5558	73.2	193759
Yemen	asia	3887	66	26916207
South Africa	africa	12509	61.3	55291225
Zambia	africa	4034	56.7	16100587
Zimbabwe	africa	1801	59.3	15777451
